Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-19,My top 30,,https://boxd.it/tbxVo,My fav movies in order

Position,Name,Year,URL,Description
1,Memories of Murder,2003,https://boxd.it/1TSo,
2,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
3,Inception,2010,https://boxd.it/1skk,
4,The Social Network,2010,https://boxd.it/17ue,
5,Perfect Blue,1997,https://boxd.it/1W7A,
6,Oldboy,2003,https://boxd.it/29R2,
7,Parasite,2019,https://boxd.it/hTha,
8,Se7en,1995,https://boxd.it/29zs,
9,Prisoners,2013,https://boxd.it/4E5i,
10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
11,Fight Club,1999,https://boxd.it/2a9q,
12,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ,
13,Look Back,2024,https://boxd.it/LjA6,
14,Whiplash,2014,https://boxd.it/7bQA,
15,The Departed,2006,https://boxd.it/28MA,
16,Marty Supreme,2025,https://boxd.it/Off0,
17,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,
18,The Handmaiden,2016,https://boxd.it/948A,
19,The Shawshank Redemption,1994,https://boxd.it/2aHi,
20,The Usual Suspects,1995,https://boxd.it/29XE,
21,The Silence of the Lambs,1991,https://boxd.it/2aHW,
22,Gone Girl,2014,https://boxd.it/6hQu,
23,Shutter Island,2010,https://boxd.it/1U82,
24,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
25,The Batman,2022,https://boxd.it/eDGs,
26,Police Story,1985,https://boxd.it/1Zhe,
27,Drug War,2012,https://boxd.it/3IcK,
28,The Prestige,2006,https://boxd.it/293w,
29,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,
30,Nightcrawler,2014,https://boxd.it/780m,
